"response","time_taken","conf_level","choice_reason","sample_size","p_value","age","academic_study","gender","beta","sigma","id","replica","pic"
"FALSE",42,4,"1",300,0.0155,7,5,"Female",2,5,120,3,"plot_turk1_300_2_5_3.png"
"TRUE",170,4,"1",300,0,7,5,"Female",3,5,120,1,"plot_turk1_300_3_5_1.png"
"TRUE",71,2,"1",300,0,7,5,"Female",5,5,120,2,"plot_turk1_300_5_5_2.png"
"FALSE",54,5,"1",300,0.0015,7,5,"Female",3,12,120,1,"plot_turk1_300_3_12_1.png"
"TRUE",63,5,"1",300,0.0295,7,5,"Female",3,12,120,2,"plot_turk1_300_3_12_2.png"
"FALSE",70,5,"1",300,0,7,5,"Female",5,12,120,1,"plot_turk1_300_5_12_1.png"
"TRUE",28,4,"1",300,0,7,5,"Female",7,12,120,2,"plot_turk1_300_7_12_2.png"
"TRUE",53,2,"1",100,1e-04,2,3,"Male",3,5,78,1,"plot_turk1_100_3_5_1.png"
"TRUE",25,2,"13",100,0,2,3,"Male",8,12,78,1,"plot_turk1_100_8_12_1.png"
"FALSE",59,1,"3",100,0.001,2,3,"Male",8,12,78,2,"plot_turk1_100_8_12_2.png"
"TRUE",45,1,"1",100,0.0033,2,3,"Male",10,12,78,3,"plot_turk1_100_10_12_3.png"
"TRUE",48,1,"3",100,0,2,3,"Male",16,12,78,2,"plot_turk1_100_16_12_2.png"
"FALSE",195,3,"3",300,0.8156,2,3,"Male",0,5,78,3,"plot_turk1_300_0_5_3.png"
"FALSE",76,2,"1",300,0.0898,2,3,"Male",1,5,78,2,"plot_turk1_300_1_5_2.png"
"TRUE",192,4,"1",300,0,2,3,"Male",3,5,78,1,"plot_turk1_300_3_5_1.png"
"TRUE",40,1,"1",300,0.0015,2,3,"Male",3,12,78,1,"plot_turk1_300_3_12_1.png"
"FALSE",38,1,"1",300,0.2258,2,3,"Male",3,12,78,3,"plot_turk1_300_3_12_3.png"
"FALSE",90,2,"12",100,0.4639,2,5,"Male",1,12,110,2,"plot_turk1_100_1_12_2.png"
"TRUE",43,2,"1",100,0.0186,2,5,"Male",8,12,110,3,"plot_turk1_100_8_12_3.png"
"TRUE",92,1,"1",100,0,2,5,"Male",10,12,110,1,"plot_turk1_100_10_12_1.png"
"TRUE",64,2,"12",100,1e-04,2,5,"Male",10,12,110,2,"plot_turk1_100_10_12_2.png"
"FALSE",52,2,"12",100,0.0033,2,5,"Male",10,12,110,3,"plot_turk1_100_10_12_3.png"
"FALSE",85,2,"1",300,0.4401,2,5,"Male",1,5,110,3,"plot_turk1_300_1_5_3.png"
"TRUE",80,2,"1",300,0,2,5,"Male",2,5,110,1,"plot_turk1_300_2_5_1.png"
"TRUE",85,2,"1",300,0,2,5,"Male",3,5,110,2,"plot_turk1_300_3_5_2.png"
"TRUE",26,1,"1",300,0,2,5,"Male",5,5,110,3,"plot_turk1_300_5_5_3.png"
"TRUE",48,2,"1",300,0,2,5,"Male",5,12,110,1,"plot_turk1_300_5_12_1.png"
