"beta","pow","sample_size","sigma","test"
2.11,0.882817806463029,100,5,"smooth3"
2.16,0.881973508281855,100,5,"smooth3"
2.21,0.88108433342592,100,5,"smooth3"
2.26,NA,100,5,"smooth3"
2.31,NA,100,5,"smooth3"
2.36,NA,100,5,"smooth3"
2.41,NA,100,5,"smooth3"
2.46,NA,100,5,"smooth3"
-0.01,NA,100,5,"smooth3"
-0.06,NA,100,5,"smooth3"
-0.11,0.894080412418271,100,5,"smooth3"
-0.16,0.893406035444427,100,5,"smooth3"
-0.21,0.89276169484422,100,5,"smooth3"
-0.26,0.89214457304486,100,5,"smooth3"
-0.31,0.89155185247355,100,5,"smooth3"
-0.36,0.890980715557502,100,5,"smooth3"
-0.41,0.890426265816917,100,5,"smooth3"
-0.46,0.889827984011549,100,5,"smooth3"
-0.51,0.889190370704802,100,5,"smooth3"
-0.56,0.888556034422709,100,5,"smooth3"
-0.61,0.887967583691299,100,5,"smooth3"
-0.66,0.887467627036603,100,5,"smooth3"
-0.71,0.887098772984653,100,5,"smooth3"
-0.76,0.886906991864947,100,5,"smooth3"
-0.81,0.887017574872623,100,5,"smooth3"
-0.86,0.887421741131462,100,5,"smooth3"
-0.91,0.888044362311802,100,5,"smooth3"
-0.96,0.88881031008398,100,5,"smooth3"
-1.01,0.889644456118335,100,5,"smooth3"
-1.06,0.890471672085202,100,5,"smooth3"
-1.11,0.891216829654922,100,5,"smooth3"
-1.16,0.89180480049783,100,5,"smooth3"
-1.21,0.892160456284265,100,5,"smooth3"
-1.26,0.892209429247766,100,5,"smooth3"
-1.31,0.891946261082139,100,5,"smooth3"
-1.36,0.891473897265171,100,5,"smooth3"
-1.41,0.890902923791318,100,5,"smooth3"
-1.46,0.890343926655034,100,5,"smooth3"
-1.51,0.889902553533392,100,5,"smooth3"
-1.56,0.889499586264857,100,5,"smooth3"
-1.61,0.88906669450379,100,5,"smooth3"
-1.66,0.888602632235006,100,5,"smooth3"
-1.71,0.88810615344332,100,5,"smooth3"
-1.76,0.887576012113545,100,5,"smooth3"
-1.81,0.887010962230495,100,5,"smooth3"
-1.86,0.886409757778985,100,5,"smooth3"
-1.91,0.88577115274383,100,5,"smooth3"
-1.96,0.885093901109842,100,5,"smooth3"
-2.01,0.884376756861836,100,5,"smooth3"
-2.06,0.883618473984627,100,5,"smooth3"
-2.11,0.882817806463029,100,5,"smooth3"
-2.16,0.881973508281855,100,5,"smooth3"
-2.21,0.88108433342592,100,5,"smooth3"
-2.26,NA,100,5,"smooth3"
-2.31,NA,100,5,"smooth3"
-2.36,NA,100,5,"smooth3"
-2.41,NA,100,5,"smooth3"
-2.46,NA,100,5,"smooth3"
0.01,NA,100,5,"smooth4"
0.06,NA,100,5,"smooth4"
0.11,0.908147292510712,100,5,"smooth4"
0.16,0.905694588086821,100,5,"smooth4"
0.21,0.90333860326689,100,5,"smooth4"
0.26,0.90107022791396,100,5,"smooth4"
0.31,0.898880351891071,100,5,"smooth4"
0.36,0.896759865061263,100,5,"smooth4"
0.41,0.894697603128212,100,5,"smooth4"
0.46,0.892630361388336,100,5,"smooth4"
0.51,0.890567130398737,100,5,"smooth4"
0.56,0.888555852907405,100,5,"smooth4"
0.61,0.886644471662325,100,5,"smooth4"
0.66,0.884880929411486,100,5,"smooth4"
0.71,0.883313168902875,100,5,"smooth4"
0.76,0.8819912468527,100,5,"smooth4"
0.81,0.881006128145416,100,5,"smooth4"
0.86,0.880340051209765,100,5,"smooth4"
0.91,0.879929547065246,100,5,"smooth4"
0.96,0.879711146731355,100,5,"smooth4"
1.01,0.87962138122759,100,5,"smooth4"
1.06,0.879596781573447,100,5,"smooth4"
1.11,0.879573878788424,100,5,"smooth4"
1.16,0.879489203892017,100,5,"smooth4"
1.21,0.879279287903725,100,5,"smooth4"
1.26,0.87887786433671,100,5,"smooth4"
1.31,0.87819038425591,100,5,"smooth4"
1.36,0.877336559109884,100,5,"smooth4"
1.41,0.876508077228279,100,5,"smooth4"
1.46,0.875896626940736,100,5,"smooth4"
1.51,0.875684484804777,100,5,"smooth4"
1.56,0.875706822729781,100,5,"smooth4"
1.61,0.875833786691634,100,5,"smooth4"
1.66,0.876065698602282,100,5,"smooth4"
1.71,0.876402880373672,100,5,"smooth4"
1.76,0.876845653917748,100,5,"smooth4"
1.81,0.877394341146458,100,5,"smooth4"
1.86,0.878049263971746,100,5,"smooth4"
1.91,0.87881074430556,100,5,"smooth4"
1.96,0.879679104059845,100,5,"smooth4"
2.01,0.880654665146546,100,5,"smooth4"
2.06,0.881737749477612,100,5,"smooth4"
2.11,0.882928678964986,100,5,"smooth4"
2.16,0.884227775520615,100,5,"smooth4"
2.21,0.885635361056445,100,5,"smooth4"
2.26,NA,100,5,"smooth4"
2.31,NA,100,5,"smooth4"
2.36,NA,100,5,"smooth4"
2.41,NA,100,5,"smooth4"
2.46,NA,100,5,"smooth4"
-0.01,NA,100,5,"smooth4"
-0.06,NA,100,5,"smooth4"
-0.11,0.908147292510712,100,5,"smooth4"
-0.16,0.905694588086821,100,5,"smooth4"
-0.21,0.90333860326689,100,5,"smooth4"
-0.26,0.90107022791396,100,5,"smooth4"
-0.31,0.898880351891071,100,5,"smooth4"
-0.36,0.896759865061263,100,5,"smooth4"
-0.41,0.894697603128212,100,5,"smooth4"
-0.46,0.892630361388336,100,5,"smooth4"
-0.51,0.890567130398737,100,5,"smooth4"
-0.56,0.888555852907405,100,5,"smooth4"
-0.61,0.886644471662325,100,5,"smooth4"
-0.66,0.884880929411486,100,5,"smooth4"
